datetime,open,high,low,close/last,volume,market_adjustment%,daily_difference%,label
2021-03-25,123.49,187.5,116.9,183.75,50962337,-48.01950609342912,57.92325838068344,Sell
2021-03-26,197.68,218.9344,163.26,181.0,37430672,9.903752287254319,-10.163195911336997,Buy
2021-03-29,180.75,193.92,173.51,181.3,10042175,-0.2594436240826774,-3.573414036375424,Buy
2021-03-30,187.5,204.3,182.0,194.46,17094924,-3.8328576604581017,7.8636292228785845,Sell
2021-03-31,197.5,199.46,187.1102,189.82,8393834,4.030771562420483,-2.364502128757176,Buy
2021-04-01,193.36,196.969,183.6,191.45,9334345,1.6662694336633073,-9.913724547688222,Buy
2021-04-05,171.004,195.0,164.81,186.95,14070489,-8.247455114024914,8.59080933961783,Sell
2021-04-06,185.21,192.0,183.56,184.5,6218318,0.34335422559291723,2.660973390961374,Sell
2021-04-07,183.22,184.4999,176.11,177.97,4768261,3.0043276165542916,5.575473586357051,Sell
2021-04-08,185.88,185.88,164.3,170.26,10047390,8.579801202911343,-1.0993462606712576,Buy
2021-04-09,169.7,171.58,153.0,158.36,9462380,7.480454942240085,3.3637233167428047,Sell
2021-04-12,158.11,163.9,135.01,141.09,16683595,10.84417825898289,-9.938686094480811,Buy
2021-04-13,141.88,145.3771,132.0,140.99,6806868,0.9054921645020777,-17.306230827897362,Buy
2021-04-14,143.57,174.09,143.0,166.53,21138138,-16.400738663395284,21.1659011854869,Sell
2021-04-15,163.0,166.2546,152.8,156.44,7856780,4.765162522091614,-3.653985774859296,Buy
2021-04-16,156.0,160.1969,151.25,154.69,5214710,1.1111767472323177,2.8179068139787917,Sell
2021-04-19,171.8,175.2,162.33,164.37,10520214,3.9290835612111095,-1.0940766879991566,Buy
2021-04-20,164.14,164.89,153.36,158.53,4658608,2.835006873211953,-1.8144459402965265,Buy
2021-04-21,158.4,162.98,155.92,158.51,3812845,1.0205609329154264,3.112980197964344,Sell
2021-04-22,159.1,159.1,146.86,151.17,4345809,4.13354113087977,-4.596575223441038,Buy
2021-04-23,149.0,153.6598,144.7,151.18,4042057,-0.4630340925612677,-11.364070576388718,Buy
2021-04-26,150.98,174.6795,148.76,168.93,10532108,-11.827104668949985,14.939579618853864,Sell
2021-04-27,183.55,188.0,173.17,177.77,8932718,3.1124749499038793,-6.9245600739579665,Buy
2021-04-28,172.1,181.98,166.0281,178.58,5788938,-3.8120851240540867,4.1483651234557435,Sell
2021-04-29,176.56,180.86,170.75,176.19,3760250,0.33627999940165665,0.06615661307949094,Sell
2021-04-30,175.0,183.8,172.7,173.59,4433565,0.4024366124811476,8.22835467387737,Sell
2021-05-03,177.49,177.49,159.61,162.2,5261019,8.630791286358518,-10.062939766909913,Buy
2021-05-04,159.0,161.49,151.8,160.73,4007512,-1.432148480551396,2.6575751329185264,Sell
2021-05-05,161.83,165.5,158.33,159.48,1789186,1.2254266523671302,-0.5396178886954188,Buy
2021-05-06,160.86,164.72,155.6,161.01,2942802,0.6858087636717114,-0.781680976474933,Buy
2021-05-07,160.11,167.41,157.5001,161.11,2934624,-0.09587221280322156,10.367606176618336,Sell
2021-05-10,161.31,161.585,143.0,143.22,4806685,10.271733963815114,-17.47020371190961,Buy
2021-05-11,137.0,150.5,136.5,146.92,4684584,-7.198469748094495,6.188633744245935,Sell
2021-05-12,145.7,150.5,142.231,144.79,2731510,-1.0098360038485599,-9.640479404186877,Buy
2021-05-13,147.44,169.95,146.43,164.5,8873487,-10.650315408035437,11.772337260136638,Sell
2021-05-14,160.0,166.47,156.22,159.92,4293530,1.1220218521012006,-14.261937320273189,Buy
2021-05-17,159.85,182.5,159.0,180.6,7462095,-13.139915468171989,8.713027007686641,Sell
2021-05-18,174.54,189.2,168.27,180.67,7738717,-4.426888460485347,6.6846074187339575,Sell
2021-05-19,171.99,178.9799,164.15,168.83,4825905,2.2577189582486104,-1.1807965629555215,Buy
2021-05-20,170.79,174.91,166.9,170.49,2478168,1.0769223952930889,-4.768744655706617,Buy
2021-05-21,171.0,179.24,170.33,176.79,3654683,-3.6918222604135282,1.9709890990599863,Sell
2021-05-24,175.85,188.4576,173.35,180.01,4664348,-1.720833161353542,-14.409797900630164,Buy
2021-05-25,181.0,217.11,181.0,209.43,14887457,-16.130631061983706,10.314205780964294,Sell
2021-05-26,229.0,248.4794,225.55,242.56,21119872,-5.816425281019414,-4.796268524928785,Buy
2021-05-27,229.8,264.0,227.0,254.13,15526303,-10.612693805948199,26.034251882677474,Sell
2021-05-28,262.97,268.7999,221.43,222.0,11751365,15.421558076729273,-22.420785574963592,Buy
